Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
URAL 4320 4320,740.1,154 kW / 209 HP,10850 ccm,? cylinders,? valves,,1977/01 - X,URAL
URAL 4320 4320,740.1,154 kW / 209 HP,10850 ccm,? cylinders,? valves,,1977/01 - X,URAL
VALTRA A SERIES A53,,37 kW / 50 HP,3300 ccm,? cylinders,? valves,,2014/01 - X,VALTRA
"VALTRA A SERIES A63, A73",,50 kW / 68 HP,3300 ccm,? cylinders,? valves,,2014/01 - X,VALTRA
"VALTRA A SERIES A65, A75",,47 kW / 64 HP,3300 ccm,? cylinders,? valves,,2002/01 - 2008/12,VALTRA
"VALTRA A SERIES A65, A75",,47 kW / 64 HP,3300 ccm,? cylinders,? valves,,2002/01 - 2008/12,VALTRA
VALTRA A SERIES A72,,54 kW / 74 HP,3300 ccm,? cylinders,? valves,,2008/01 - 2011/12,VALTRA
VALTRA A SERIES A72,,54 kW / 74 HP,3300 ccm,? cylinders,? valves,,2008/01 - 2011/12,VALTRA
"VALTRA A SERIES A82, A92",,65 kW / 88 HP,4400 ccm,? cylinders,? valves,,2008/01 - 2011/12,VALTRA
"VALTRA A SERIES A82, A92",,65 kW / 88 HP,4400 ccm,? cylinders,? valves,,2008/01 - 2011/12,VALTRA
"VALTRA A SERIES A83, A93",,65 kW / 88 HP,3300 ccm,? cylinders,? valves,,2011/01 - X,VALTRA
"VALTRA A SERIES A85, A95",,65 kW / 88 HP,4400 ccm,? cylinders,? valves,,2002/01 - 2008/12,VALTRA
"VALTRA A SERIES A85, A95",,65 kW / 88 HP,4400 ccm,? cylinders,? valves,,2002/01 - 2008/12,VALTRA
"VALTRA N SERIES N111, N111e",,81 kW / 110 HP,4399 ccm,? cylinders,? valves,,2005/01 - 2007/12,VALTRA
"VALTRA N SERIES N113, N123",,96 kW / 131 HP,4399 ccm,? cylinders,? valves,,2012/01 - X,VALTRA
VALTRA N SERIES N121,,96 kW / 130 HP,4399 ccm,? cylinders,? valves,,2005/01 - 2007/12,VALTRA
VALTRA N SERIES N122,,93 kW / 126 HP,4399 ccm,? cylinders,? valves,,2009/01 - 2011/12,VALTRA
VALTRA N SERIES N123,,99 kW / 135 HP,4912 ccm,? cylinders,? valves,,2011/01 - X,VALTRA
VALTRA N SERIES N141,,106 kW / 144 HP,4912 ccm,? cylinders,? valves,,2005/01 - 2007/12,VALTRA
